PC1,PC2,PC3,PC4,PC5,PC6,koi_disposition
0.0058816718033302415,-0.030318717593152123,0.00970938093064714,-0.023760083142026527,0.005409714762504966,-0.0024829422106075025,2
-0.034216540421065395,-0.03632413239334712,-0.03152357281891624,-0.009629004713652732,0.024915511553312904,0.003715108701081646,2
-0.00025156311128784835,-0.012288238250787413,-0.009337683784654372,-0.07333696324922866,0.019146018379858947,0.01880169742170513,1
0.0821667709097759,0.04367084953206223,0.04169003860241258,-0.0622222492431298,-0.025687727486465924,-0.014700668296877667,2
0.002280577841013574,0.036929690136941584,-0.021119207636522447,-0.04584974562175396,-0.007977005479850321,0.0005809565895524904,2
0.04419570848828534,0.041218614475584926,0.012453274783307383,-0.05682494427645099,-0.021673243073855965,-0.012482043792295488,2
0.06400501476968466,0.04625677989023317,0.03664316145196864,-0.0638624251164611,-0.03169470223023759,-0.023374888141795152,2
-0.025160959653796534,-0.07509198716463938,0.011141246822905376,0.0035531761192989153,-0.002174083528871926,0.02811202569482511,2
0.12104550801760317,0.018228303301742268,0.01987842371666117,-0.023887661466074933,-0.37849574030217736,0.9021279982190193,2
0.13204310357019508,0.0909671950160545,0.013782268788087968,-0.006704460196523537,-0.1531402926914208,0.35718469332082026,2
0.08355512253831818,0.017509364827991678,-0.00125785835302596,-0.02449068559740558,-0.01215639350247276,-0.006631645063287392,2
-0.02204660680613305,-0.09897731262963008,0.016203319151073352,0.0030975996960599687,-0.010111240581022614,0.004835096120368234,2
-0.008579294225815695,-0.1448134248022538,0.03585345590239229,0.00032662835416402306,-0.008480316959939728,0.0003542002811722741,2
0.01365929943879752,-0.04751724621131203,0.03163862918036847,-0.0017225144459379034,-0.008661280864281218,-0.0022240140905036344,2
0.05571414111930344,-0.053871636832241644,0.010653692338377752,0.009497115693772233,-0.006303725999775368,-0.009303263634979167,2
0.029067264396965345,-0.05709525228436072,-0.013934863168653276,0.017866946564419846,0.0057556418189053955,-0.0077446598528933255,2
-0.030907273578698147,-0.08756158824747258,0.006560642146575766,0.005815794781194348,0.014210421933860545,0.001197437164316904,2
0.020430740492801833,-0.047667388880977976,0.02372393948097718,-0.031581333904683304,-0.008742904777582034,-0.009845973912033864,2
0.026979898155674458,-0.011031426649837422,0.013534919731120955,-0.04356543667321181,-0.022803852845550494,-0.007200510803560167,2
-0.04134536413113474,-0.013056303314023805,-0.018220349449698008,0.006924455654413375,0.018115277651654795,0.0027149031166990457,2
-0.042979746658668036,-0.07649697927830679,-0.01495721695762661,0.015785336125767633,0.013625436098971693,0.006145006148261227,2
0.005945940151630153,-0.07275836606623468,0.03034870257382951,-0.002293351568155755,-0.0027907984559577275,-0.0028884844833215193,2
-0.02637193101223401,-0.07942285625716866,0.014035178885893606,-0.0010630442945741903,0.010707703074814359,-0.00046307048911608026,2
-0.05630310278605193,-0.019888182252269612,-0.012755791722147015,-0.03593985053932624,-0.0004498147979072206,0.007559137157912984,2
