kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
9147012,K05625.01,,1,1,0.789,116.454312,161.9891,0.006,15.826,2125.3,3.33,306.0,2.06,30.0,1.0,q1_q17_dr25_tce,5197.0,4.548,0.736,288.42819,45.566269,16.017
9147029,K05626.01,,1,1,,397.499229,418.76194,0.5839,8.019,2629.7,6.57,293.0,1.73,34.8,1.0,q1_q16_tce,6423.0,4.37,1.231,288.43582,45.519852,15.312
9157030,K05628.01,,1,1,0.874,24.9093027,155.3824,0.679,3.8,332.6,1.32,452.0,9.9,10.4,1.0,q1_q17_dr25_tce,4810.0,4.633,0.685,292.81415,45.546501,15.712
9157523,K05629.01,,1,1,,192.138741,269.2098,0.0503,3.218,151.4,1.93,407.0,6.48,8.2,1.0,q1_q16_tce,6065.0,4.098,1.569,293.01486,45.577831,12.534
9994381,K05749.01,,1,1,,281.95332,231.2826,0.6164,2.756,1039.0,2.31,204.0,0.41,7.6,1.0,q1_q16_tce,4864.0,4.628,0.692,282.93451,46.994869,15.399
10007916,K05755.01,,1,1,,388.67155,211.0496,0.0576,11.701,371.3,1.49,210.0,0.46,10.1,1.0,q1_q16_tce,5354.0,4.587,0.788,290.23773,46.980042,14.829
7282470,K05379.01,,1,1,,520.655224,160.5611,0.2674,12.94,314.9,7.58,401.0,6.12,14.4,1.0,q1_q16_tce,5227.0,3.321,4.313,291.9227,42.892921,12.518
7289139,K05380.01,,1,1,,369.93355,175.282,0.149,7.6,995.0,3.24,270.0,1.25,15.8,1.0,q1_q16_tce,6158.0,4.453,1.024,293.96146,42.806419,15.524
8352009,K05506.01,,1,1,,641.60204,170.8404,0.3218,16.762,237.3,1.61,230.0,0.66,10.6,1.0,q1_q16_tce,6277.0,4.449,1.031,285.79572,44.35051,14.152
8378278,K05509.01,,1,1,,28.406342,133.0507,0.2208,2.598,223.6,1.41,613.0,33.44,5.4,1.0,q1_q16_tce,6085.0,4.474,0.936,296.18494,44.342991,15.423
9166700,K05632.01,,1,1,0.928,264.466625,134.96749,0.129,6.371,437.3,2.61,346.0,3.41,27.0,1.0,q1_q17_dr25_tce,6551.0,4.337,1.236,296.33813,45.545109,11.154
9173014,K05633.01,,1,1,,151.77884,204.5209,0.159,2.615,189.7,4.35,616.0,34.01,8.2,1.0,q1_q16_tce,6328.0,3.634,3.134,298.11365,45.563419,11.141
9178894,K05635.01,,1,1,,113.993156,171.1834,0.7026,7.721,69.7,2.23,729.0,66.64,15.6,1.0,q1_q16_tce,7892.0,3.921,2.496,299.74387,45.586361,11.176
10027861,K05758.01,,1,1,,102.493119,166.0094,0.9591,2.814,636.1,2.7,317.0,2.37,8.3,1.0,q1_q16_tce,5166.0,4.583,0.791,297.66437,46.94482,15.142
10083325,K05761.01,,1,1,0.986,6.13292733,131.9926,0.225,1.561,58.7,1.56,1379.0,854.43,10.0,1.0,q1_q17_dr25_tce,5877.0,3.941,2.034,294.9733,47.015369,13.421
10090854,K05762.01,,1,1,1.0,12.63063129,136.70398,0.017,2.212,300.8,1.37,689.0,53.17,9.5,1.0,q1_q17_dr25_tce,5579.0,4.58,0.798,297.39322,47.011459,15.633
10098540,K05764.01,,1,1,,286.02266,373.7304,0.3591,10.43,1036.0,2.03,180.0,0.25,9.8,1.0,q1_q16_tce,4368.0,4.624,0.637,299.58463,47.000771,15.45
7377343,K05384.01,,1,1,1.0,7.95445779,135.48462,0.021,4.6012,6269.4,9.5,1064.0,303.36,228.4,1.0,q1_q17_dr25_tce,6217.0,4.306,1.196,295.90891,42.988209,14.406
7383840,K05385.01,,1,1,,331.70918,312.6153,78.4871,7.44,3463.0,6815.75,221.0,0.56,9.5,1.0,q1_q16_tce,5282.0,4.565,0.805,297.39856,42.991539,15.54
7416016,K05387.01,,1,1,,297.78282,233.4002,0.2697,18.38,392.4,1.17,167.0,0.18,10.8,1.0,q1_q16_tce,4192.0,4.657,0.59,280.35452,43.056671,14.587
7416306,K05388.01,,1,1,0.086,137.396194,158.9242,0.525,17.61,155.4,3.38,517.0,16.87,13.2,1.0,q1_q17_dr25_tce,5425.0,3.704,2.655,280.52133,43.077068,13.668
7416646,K05389.01,,1,1,,365.739893,278.581,0.6206,1.218,300.7,1.73,241.0,0.8,4.7,1.0,q1_q16_tce,5420.0,4.396,0.953,280.72287,43.065472,12.962
7440715,K05390.01,,1,1,,104.198102,161.4469,0.3437,3.2,652.2,5.13,497.0,14.46,8.9,1.0,q1_q16_tce,5087.0,3.759,2.024,290.50705,43.015041,14.457
8395870,K05511.01,,1,1,,74.833577,196.5293,0.1101,3.247,86.4,1.68,590.0,28.65,6.4,1.0,q1_q16_tce,5933.0,3.953,1.807,300.93237,44.34454,12.395
8396288,K05512.01,,1,1,1.0,8.5852872,137.39662,0.029,2.834,1406.0,3.02,777.0,85.95,11.0,1.0,q1_q17_dr25_tce,5488.0,4.57,0.818,301.05518,44.306229,16.565
8415353,K05514.01,,1,1,,102.100752,148.9663,0.492,2.009,194.2,2.63,551.0,21.84,5.2,1.0,q1_q16_tce,6359.0,4.046,1.83,284.7644,44.485004,13.845
8429817,K05515.01,,1,1,1.0,6.263491873,134.897906,0.048,0.8513,2829.0,6.46,1180.0,458.5,35.1,1.0,q1_q17_dr25_tce,6247.0,4.255,1.194,291.45227,44.431751,13.952
8432249,K05517.01,,1,1,,335.43143,395.1813,0.4062,10.3,228.1,7.12,468.0,11.31,6.8,1.0,q1_q16_tce,5172.0,3.315,4.721,292.39389,44.476212,13.938
8439618,K05518.01,,1,1,0.0,558.21886,419.8232,0.022,13.556,1539.4,3.1,198.0,0.36,19.1,1.0,q1_q17_dr25_tce,5679.0,4.581,0.794,295.06573,44.477032,15.326
9209981,K05638.01,,1,1,,290.02002,138.2587,0.5367,23.87,172.5,1.56,321.0,2.51,7.6,1.0,q1_q16_tce,6452.0,4.384,1.148,288.01117,45.68716,14.737
9210738,K05639.01,,1,1,,279.21957,179.9274,0.6009,10.015,333.5,4.92,395.0,5.77,10.5,1.0,q1_q16_tce,5159.0,3.648,2.604,288.40182,45.677029,13.845
9214176,K05640.01,,1,1,,348.665961,165.8497,0.0873,3.849,391.2,9.56,493.0,13.93,10.8,1.0,q1_q16_tce,5183.0,3.166,4.89,290.15314,45.635471,12.038
9217583,K05642.01,,1,1,,222.28056,131.8546,0.2151,3.035,271.9,2.56,405.0,6.37,8.0,1.0,q1_q16_tce,6543.0,4.17,1.531,291.57455,45.618389,12.401
9220614,K05643.01,,1,1,,570.01886,375.0523,0.1946,3.52,428.5,1.62,190.0,0.31,6.8,1.0,q1_q16_tce,5496.0,4.579,0.79,292.79358,45.687859,14.441
10146103,K05769.01,,1,1,0.899,7.58062893,132.89809,0.382,3.484,86.1,0.97,937.0,182.01,10.9,1.0,q1_q17_dr25_tce,5753.0,4.417,1.041,293.74625,47.15406,14.498
7458743,K05393.01,,1,1,,248.421771,230.379,0.7838,4.187,704.0,18.92,579.0,26.64,8.8,1.0,q1_q16_tce,4895.0,3.008,6.428,295.64517,43.065338,13.586
7539277,K05398.01,,1,1,,551.22396,185.7811,0.2134,5.896,570.7,2.1,206.0,0.42,17.2,1.0,q1_q16_tce,5691.0,4.544,0.887,295.02985,43.129421,14.465
11444772,K05897.01,,1,1,,395.94327,183.6179,0.1116,16.09,1506.0,2.53,172.0,0.21,14.5,1.0,q1_q16_tce,4596.0,4.63,0.678,285.70541,49.342628,15.921
11444974,K05898.01,,1,1,,76.37924,205.0612,0.7333,0.645,276.3,1.73,406.0,6.41,5.7,1.0,q1_q16_tce,5451.0,4.404,0.936,285.82983,49.39431,13.717
11446961,K05899.01,,1,1,,58.669218,168.6211,0.332,3.712,169.4,1.28,450.0,9.68,10.0,1.0,q1_q17_dr24_tce,5548.0,4.433,0.986,287.15372,49.33197,13.899
11453930,K05900.01,,1,1,,355.84731,447.657,0.1578,16.68,123.9,1.68,354.0,3.71,9.8,1.0,q1_q16_tce,6823.0,4.212,1.493,291.14532,49.365318,13.127
11456256,K05901.01,,1,1,0.925,61.611129,133.8909,0.364,14.96,82.9,1.29,597.0,30.02,22.0,1.0,q1_q17_dr25_tce,6533.0,4.227,1.386,292.43137,49.368561,12.332
11457664,K05902.01,,1,1,,150.728285,223.0487,0.2751,2.718,213.5,1.27,321.0,2.51,5.6,1.0,q1_q16_tce,5778.0,4.544,0.871,293.16309,49.383331,14.396
11465658,K05903.01,,1,1,,253.790434,267.5242,0.1412,3.702,604.0,2.06,253.0,0.97,6.4,1.0,q1_q16_tce,5426.0,4.535,0.85,296.63181,49.363312,15.327
11465869,K05904.01,,0,0,,322.544807,267.9262,0.0183,11.236,88.0,0.68,219.0,0.55,12.1,1.0,q1_q16_tce,5359.0,4.611,0.741,296.71918,49.35994,11.697
